冰硼散,咽喉/口腔,6.50,3g/瓶,同仁堂,清热解毒，消肿止痛，用于咽喉疼痛、牙龈肿痛、口舌生疮,吹敷患处，一日数次,过敏者禁用，孕妇慎用,口舌生疮、牙龈肿痛、咽喉肿痛
氯雷他定片,鼻炎/过敏,22.50,10mg*12片,开瑞坦分厂,用于过敏性鼻炎、荨麻疹、皮肤瘙痒,口服，成人一次1片，一日1次,对本品过敏者禁用,打喷嚏、流鼻涕、鼻痒、眼痒、荨麻疹、皮肤瘙痒
盐酸西替利嗪片,鼻炎/过敏,18.80,10mg*14片,仙特明分厂,用于过敏性鼻炎、荨麻疹、瘙痒性皮肤病,口服，成人一次1片，一日1次,过敏者禁用，肾功能不全者慎用,鼻痒、打喷嚏、流鼻涕、皮肤瘙痒、荨麻疹
糠酸莫米松鼻喷雾剂,鼻炎/过敏,68.50,60喷/瓶,内舒拿分厂,用于治疗季节性、常年性过敏性鼻炎,鼻腔喷雾，一日1次,对本品过敏者禁用,鼻塞、流涕、鼻痒、打喷嚏、过敏性鼻炎
盐酸羟甲唑啉喷雾剂,鼻炎/过敏,19.80,10ml/瓶,达芬霖分厂,用于急慢性鼻炎、鼻窦炎、过敏性鼻炎引起的鼻塞,鼻腔喷雾，一次1-2喷，一日3-4次,高血压、甲亢患者慎用,鼻塞、鼻黏膜充血、鼻炎、鼻窦炎
奥美拉唑肠溶胶囊,肠胃/消化,25.80,20mg*14粒,鲁南制药,用于胃溃疡、十二指肠溃疡、反流性食管炎,口服，一次20mg，一日1-2次,过敏者禁用,胃痛、反酸、烧心、胃溃疡、十二指肠溃疡
多潘立酮片,肠胃/消化,18.60,10mg*30片,杨森制药,用于消化不良、腹胀、嗳气、恶心、呕吐,口服，一次1片，一日3次，饭前服,机械性肠梗阻患者禁用,消化不良、腹胀、嗳气、恶心、呕吐、腹部胀痛
铝碳酸镁咀嚼片,肠胃/消化,19.90,0.5g*24片,拜耳分厂,用于慢性胃炎、胃酸过多、胃痛、烧心、反酸,咀嚼后服用，一次1-2片，一日3次,严重肾功能不全者禁用,胃痛、胃灼热、反酸、饱胀、嗳气
蒙脱石散,肠胃/消化,12.50,3g*10袋,思密达分厂,用于成人及儿童急、慢性腹泻,口服，成人一次1袋，一日3次,便秘者慎用,急慢性腹泻、腹痛、水样便
健胃消食片,肠胃/消化,9.80,0.8g*60片,江中药业,健胃消食，用于脾胃虚弱所致的食积、消化不良,口服，一次3片，一日3次,饮食宜清淡,食欲不振、消化不良、脘腹胀满、嗳腐酸臭
布洛芬缓释胶囊,止痛/退热,15.80,0.4g*24粒,芬必得分厂,用于缓解轻至中度疼痛，也用于普通感冒发热,口服，成人一次1粒，一日2次,过敏者禁用,头痛、关节痛、偏头痛、牙痛、肌肉痛、痛经、发热
对乙酰氨基酚片,止痛/退热,6.90,0.5g*24片,泰诺分厂,用于感冒发热，缓解轻中度疼痛,口服，成人一次1片，间隔4-6小时可重复,严重肝肾功能不全者禁用,发热、头痛、关节痛、牙痛、肌肉痛
双氯芬酸钠缓释片,止痛/退热,22.60,50mg*20片,扶他林分厂,用于类风湿关节炎、骨关节炎、软组织损伤疼痛,口服，一次1片，一日1-2次,消化性溃疡患者禁用,关节痛、肌肉痛、腰痛、跌打损伤痛
元胡止痛片,止痛/退热,8.90,0.25g*48片,同仁堂,理气活血止痛，用于胃痛、胁痛、头痛、痛经,口服，一次4-6片，一日3次,孕妇慎用,胃痛、胁痛、头痛、痛经、气滞血瘀疼痛
红霉素软膏,皮肤/外用,4.50,10g/支,华源制药,用于脓疱疮、化脓性皮肤病、小面积烧伤、溃疡感染,外用，涂于患处，一日2次,避免接触眼睛,脓疱疮、皮肤感染、小面积烧伤、溃疡感染
莫匹罗星软膏,皮肤/外用,28.50,5g/支,百多邦分厂,用于革兰阳性球菌引起的皮肤感染,外用，涂于患处，一日3次,过敏者禁用,毛囊炎、脓疱疮、疖肿、伤口感染
炉甘石洗剂,皮肤/外用,12.80,100ml/瓶,信龙药业,用于急性瘙痒性皮肤病，如荨麻疹、痱子、湿疹,外用，摇匀涂抹，一日2-3次,避免接触眼睛,皮肤瘙痒、荨麻疹、痱子、湿疹、蚊虫叮咬
皮炎平软膏,皮肤/外用,16.80,20g/支,三九药业,用于过敏性和自身免疫性炎症皮肤病,外用，涂于患处，一日1-2次,病毒感染者禁用,湿疹、皮炎、皮肤瘙痒、红斑、丘疹
云南白药气雾剂,皮肤/外用,32.80,85g+30g/盒,云南白药分厂,活血散瘀，消肿止痛，用于跌打损伤、瘀血肿痛,外用，喷于患处，一日3-5次,孕妇禁用,跌打损伤、瘀血肿痛、肌肉酸痛、风湿关节痛
阿莫西林胶囊,消炎/抗菌,15.60,0.5g*24粒,阿莫仙分厂,用于敏感菌所致呼吸道、泌尿道、皮肤软组织感染,口服，成人一次1粒，每6-8小时1次,青霉素过敏者禁用,咽炎、扁桃体炎、支气管炎、尿路感染、皮肤感染
头孢克肟分散片,消炎/抗菌,32.80,0.1g*12片,世福素分厂,用于敏感菌引起的支气管炎、肺炎、肾盂肾炎、中耳炎,口服，成人一次1片，一日2次,头孢类过敏者禁用,支气管炎、肺炎、肾盂肾炎、膀胱炎、中耳炎
左氧氟沙星片,消炎/抗菌,28.50,0.5g*7片,可乐必妥分厂,用于多种细菌引起的呼吸道、泌尿、皮肤感染,口服，成人一次1片，一日1次,18岁以下禁用,肺炎、尿路感染、前列腺炎、皮肤软组织感染
阿奇霉素分散片,消炎/抗菌,25.80,0.25g*6片,希舒美分厂,用于呼吸道、皮肤软组织、泌尿生殖系统感染,口服，成人一次1片，一日1次,过敏者禁用,咽炎、扁桃体炎、支气管炎、肺炎、皮肤感染
甲硝唑片,消炎/抗菌,6.90,0.2g*100片,康美药业,用于厌氧菌感染、牙周炎、阴道滴虫病、阿米巴痢疾,口服，成人一次1-2片，一日3次,饮酒后禁用,厌氧菌感染、牙周炎、阴道炎、阿米巴痢疾
小儿氨酚黄那敏颗粒,儿科常备,13.80,6g*10袋,葵花药业,缓解儿童普通感冒及流感引起的发热、头痛、鼻塞、流涕,温水冲服，一次1-2袋，一日3次,新生儿或早产儿禁用,儿童发热、头痛、鼻塞、流涕、咽痛、打喷嚏
小儿止咳糖浆,儿科常备,16.80,120ml/瓶,三九药业,祛痰，镇咳，用于小儿感冒引起的咳嗽,口服，2～5岁一次5ml，一日3-4次,过敏者禁用,小儿感冒咳嗽、痰多、气喘
妈咪爱益生菌,儿科常备,32.50,1g*30袋,韩美药品,用于肠道菌群失调引起的腹泻、便秘、胀气、消化不良,冲服，一次1袋，一日1-2次,不可用高温水冲服,小儿腹泻、便秘、腹胀、消化不良、食欲不振
妇科千金片,妇科常备,28.80,18片*2板,千金药业,用于湿热瘀阻所致的带下病、盆腔炎、子宫内膜炎,口服，一次6片，一日3次,孕妇禁用,带下量多、色黄质稠、小腹疼痛、腰骶酸痛
甲硝唑阴道泡腾片,妇科常备,12.50,14片/盒,广药集团,用于厌氧菌性阴道病、滴虫性阴道炎,阴道给药，一次1片，每晚1次,孕妇禁用,外阴瘙痒、白带异常、滴虫性阴道炎、细菌性阴道炎
克霉唑阴道片,妇科常备,26.80,1片/盒,凯妮汀分厂,用于念珠菌性外阴阴道炎,阴道给药，睡前1片，一次为一疗程,过敏者禁用,外阴瘙痒、豆腐渣样白带、念珠菌性阴道炎
维生素C片,维生素/营养,6.80,100mg*60片,养生堂分厂,用于预防和治疗维生素C缺乏症，如坏血病,口服，一次1片，一日1次,过量服用可引起腹泻,维生素C缺乏、免疫力低下、牙龈出血
复合维生素B片,维生素/营养,7.50,100片/瓶,恒健制药,预防和治疗B族维生素缺乏所致的营养不良、厌食、脚气病,口服，一次1-3片，一日3次,过敏者禁用,营养不良、食欲不振、口角炎、脚气病、疲劳乏力
碳酸钙D3片,维生素/营养,39.80,60片/瓶,钙尔奇分厂,用于妊娠、哺乳期、更年期妇女、老年人钙补充,口服，一次1片，一日1-2次,高钙血症患者禁用,缺钙、骨质疏松、腿抽筋、骨密度低下
左氧氟沙星滴眼液,眼科/滴眼液,22.80,5ml/支,可乐必妥分厂,用于治疗细菌引起的细菌性结膜炎、角膜炎,滴眼，一次1滴，一日3-5次,过敏者禁用,细菌性结膜炎、角膜炎、眼睛红肿、疼痛、分泌物多
玻璃酸钠滴眼液,眼科/滴眼液,35.60,5ml/支,爱丽分厂,用于干眼症、角膜上皮机械性损伤,滴眼，一次1滴，一日5-6次,过敏者禁用,眼干、眼涩、异物感、疲劳、干眼症
萘敏维滴眼液,眼科/滴眼液,12.80,10ml/支,闪亮分厂,用于缓解眼睛疲劳、结膜充血、眼睛发痒,滴眼，一次1-2滴，一日3-4次,青光眼患者禁用,眼疲劳、结膜充血、眼痒、红血丝
氯霉素滴眼液,眼科/滴眼液,5.90,8ml/支,润舒分厂,用于结膜炎、沙眼、角膜炎、眼睑缘炎,滴眼，一次1-2滴，一日3-5次,过敏者禁用,结膜炎、沙眼、角膜炎、眼睑发炎、红肿疼痛
珍珠明目滴眼液,眼科/滴眼液,9.90,10ml/支,天目药业,清热泻火，养肝明目，用于视力疲劳和慢性结膜炎,滴眼，一次1-2滴，一日3-5次,过敏者禁用,眼干、眼涩、视力疲劳、视物模糊、慢性结膜炎
